year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","148177","The Illinois Institute of Art-Chicago","IL","8","34500","25700","","30600","","16700","46300","","","","","","","","",""
"2014","148177","The Illinois Institute of Art-Chicago","IL","6","29400","19300","","27200","","15400","40300","","25500","30700","32900","","28600","30800","29000","29900"
"2014","428286","The Illinois Institute of Art-Schaumburg","IL","10","38200","27400","","34100","","19000","51500","","33500","39600","41500","","38000","38500","37100","39400"
"2014","428286","The Illinois Institute of Art-Schaumburg","IL","8","34500","25700","","30600","","16700","46300","","","","","","","","",""
"2014","428286","The Illinois Institute of Art-Schaumburg","IL","6","29400","19300","","27200","","15400","40300","","25500","30700","32900","","28600","30800","29000","29900"
"2014","149505","Trinity Christian College","IL","10","44600","27900","","42200","","24700","61300","","46000","44100","44300","","43600","46600","39900","53600"
"2014","149505","Trinity Christian College","IL","8","41400","25500","","39500","","25500","53600","","","","","","","","",""
"2014","149505","Trinity Christian College","IL","6","39600","21700","","38300","","24600","51200","","38900","39800","40000","","36900","44100","37300","44600"
"2014","146755","Trinity College of Nursing and Health Sciences","IL","10","50600","30200","","44500","","34900","62300","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","146755","Trinity College of Nursing and Health Sciences","IL","8","43100","22200","","43000","","27400","57300","","","","","","","","",""
"2014","146755","Trinity College of Nursing and Health Sciences","IL","6","42600","21300","","41200","","31300","53000","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","149514","Trinity International University-Illinois","IL","10","45400","33300","","41100","","24100","58600","","44400","44600","47000","","44400","46400","38100","54700"
"2014","149514","Trinity International University-Illinois","IL","8","40000","30500","","36300","","21700","51100","","","","","","","","",""
"2014","149514","Trinity International University-Illinois","IL","6","35400","24600","","32300","","19300","45400","","34400","35500","36300","","31600","38900","31500","40300"
"2014","144050","University of Chicago","IL","10","103000","113200","","68100","","43900","120800","","110000","104300","94600","","83400","128500","86400","121700"
"2014","144050","University of Chicago","IL","8","89700","97500","","61300","","40300","100100","","","","","","","","",""
"2014","144050","University of Chicago","IL","6","72100","73500","","54300","","33200","85200","","74800","78800","65500","","60400","97000","62400","83900"
